Store Name	Address	Instagram	Pinterest	Website 1	Website 2	Etsy
ROYAL JELLY HARLEM	155 Wooster Street, New York City			http://www.shoptiques.com/boutiques/royal-jelly		
MADONNA & CO	284 Lafayette, New York City			http://www.shoptiques.com/boutiques/madonna-co		
DICKS COTTONS	88 East 3rd Street Suite 17, New York City			http://www.shoptiques.com/boutiques/dicks-cottons		
DARLING	1 Horatio Street, New York City			http://www.shoptiques.com/boutiques/darling		
IBIZA	825 Broadway, New York City			http://www.shoptiques.com/boutiques/ibiza		
FLAT 128	15 Christopher Street, New York City			http://www.shoptiques.com/boutiques/flat-128		
TRES CHIX NYC	447 West 50th Street, New York City			http://www.shoptiques.com/boutiques/tres-chix-nyc		
SWING	108 West 118th street, New York City			http://www.shoptiques.com/boutiques/swing		
CCH COLLECTION	101 West 55th Street, New York City			http://www.shoptiques.com/boutiques/cch-collection		
VICTORIA KHOSS	27 W 60th Street, #20341, New York City			http://www.shoptiques.com/boutiques/victoria-khoss		
HATSHOP WORTH & WORTH	45 West 57th Street, 6th Floor, New York City			http://www.shoptiques.com/boutiques/worth-worth		
GEMINOLA	41 Perry Street, New York City			http://www.shoptiques.com/boutiques/geminola		
KTCOLLECTION	315 Columbus Avenue, New York City			http://www.shoptiques.com/boutiques/Ktcollection		
THE STYLELINER	20 Clinton St, New York City			http://www.shoptiques.com/boutiques/the-styleliner		
LEAH C. COUTURE MILLINERY	124 West 30th Street, suite #203, New York City			http://www.shoptiques.com/boutiques/Leah-C-Couture-Millinery		
THE LITTLE SHOE STORE	40 Clinton Street, New York City			http://www.shoptiques.com/boutiques/The-Little-Shoe-Store		
Meg	312 E 9th St New York, NY 10003			https://www.megshops.com/		
CONCRETE + WATER	485 Driggs Ave Brooklyn, NY 11211	https://instagram.com/concreteandwater/	https://www.pinterest.com/concretenwater	http://concreteandwater.com/		
Uniqlo	546 Broadway NYC			http://www.uniqlo.com/us/		
Uniqlo	31 W 34th St NYC			http://www.uniqlo.com/us/		
Cloak & Dagger	334 E 9th St New York, NY 10003	https://instagram.com/cloakndaggernyc/	https://www.pinterest.com/cloakndaggernyc/	http://www.cloakanddaggernyc.com/		
Forever21	1540 Broadway NYC 10036			http://www.forever21.com/		
Elska NY	535 51st Ave Long Island City, NY 11101			http://www.elskanewyork.com/		
Uniqlo	666 5th Ave NYC 10103			http://www.uniqlo.com/us/		
Urban Outfitters	162 2nd Ave NYC 10003			http://www.urbanoutfitters.com/urban/index.jsp		
Alter	140 Franklin St Brooklyn, NY 11222	https://instagram.com/alterbrooklyn/		http://alterbrooklyn.com/		
Brooklyn Denim Co	85 N 3rd St Ste 101 Brooklyn, NY 11249	https://instagram.com/brooklyndenimco/		http://brooklyndenimco.com/		
Cloth	138 Fort Greene Pl Brooklyn, NY 11217			http://www.clothclothing.com/		
In God We Trust	265 Lafayette St New York, NY 10012	https://instagram.com/ingodwetrustnyc/		http://ingodwetrustnyc.com/		
Men's Wearhouse	360 Madison Ave NYC 10017			http://www.menswearhouse.com/store-locator/5402?cm_mmc=yelp-_-storelink-_-NY-_-5402		
Article&	198 Smith St Brooklyn 11231	https://instagram.com/articleand/		https://www.articleand.com/		
Saks 5th Avenue	611 Fifth Avenue NYC 10022			http://www.saksfifthavenue.com/Entry.jsp		
Goldy & Mac	396 7th Ave Brooklyn NY 11215	https://instagram.com/GOLDYANDMAC/	https://www.pinterest.com/goldyandmac/	http://www.goldyandmac.com/		
Worship	117 Wilson Ave Brooklyn NY 11237	https://instagram.com/shopworship/	https://www.pinterest.com/shopworship	http://www.shopworship.com/		
Treehouse Brooklyn	430 Graham Ave Brooklyn NY 11226		http://www.treehousebrooklyn.com/	http://www.treehousebrooklyn.com/		
The Cast	71 Orchard St New York 10002			http://thecast.com/		
Madewell	486 Broadway NY 10013	https://instagram.com/madewell1937/		https://stores.madewell.com/madewell-soho?srccode=X%7CPMG%7CNaturalSearch%7CLocal%7CYelp%7C219		
Jane's Closet	135 Grand Street Brooklyn, NY 11249			https://www.janebrooklyn.com/		
Line & Label	568 Manhattan Ave Brooklyn, NY 11222	https://instagram.com/lineandlabel		http://www.lineandlabel.com/		
Life: Curated	186 Grand St Brooklyn 11211	https://instagram.com/lifecurated/		http://www.life-curated.com/		
Heights + Kenchi	524 E 5th St New York 10009	https://instagram.com/HEIGHTSKENCHI/		http://www.heights-kenchi.com/		
7115 by Szeki	157 Rivington St NY 10002	https://instagram.com/7115nyc/		http://7115newyork.com/		
NOS Boutique	81 Front St Brooklyn 11201	https://instagram.com/nosboutique/		http://nosboutique.com/		
Trunk	68 Jay St Ste 101 NY 11201	https://instagram.com/trunkbrooklyn/		http://www.trunkbrooklyn.com/		
H & M	435 7th Ave NY 10001			http://www.hm.com/us/		
Anthropologie	375 W Broadway NY 10012			http://www.anthropologie.com/anthro/index.jsp		
Lockwood	3215 33rd St Astoria NY 11106			http://lockwoodshop.com/category/Apparel/c70		
Fanaberie	102A Nassau Ave Brooklyn NY 11222			http://www.fanaberienyc.com/		
Pema NY	225 Bedford Ave Brooklyn 11211			http://www.pemany.com/		
Flirt	93 5th Ave Brooklyn, NY 11217			http://store.flirt-brooklyn.com/		
Urban Outfitters	2633 Broadway NY 10025			http://urbanoutfitters.com		
Better Than Jam	123 Knickerbocker Ave Brooklyn 11237			https://www.etsy.com/shop/betterthanjam		
APC	131 Mercer St New York 10012			http://usonline.apc.fr/		
J. Crew	235-237 West Broadway NY 10013			http://jcrew.com		
Maryam Nassir Zadeh	123 Norfolk St NY 10002			http://www.mnzstore.com/		
Pesca Boutique	244 E 60th St NY 10022	https://instagram.com/pescaboutiqueny/		https://www.pescaboutique.com/		
Urban Outfitters	182 Broadway NY 10038			http://urbanoutfitters.com		
Old Hollywood	99 Franklin St Brooklyn NY 11222			http://www.cosmiclovepatterns.com/		
Old Navy	610 Avenue of the Americas NY 10004			http://oldnavy.com		
Proper Cloth	450 Broadway 2nd Floor NY 10013			http://propercloth.com/		
Loren	80 Nassau Ave Brooklyn NY 11222	https://instagram.com/loren_denim/		http://lorencronk.com/loren/		
Reformation	156 Ludlow St NY 10002	https://instagram.com/reformation/		https://www.thereformation.com/cart		
O.N.A.	593A Vanderbilt Ave Brooklyn NY 11238	https://instagram.com/onabrooklyn/		http://onanyc.com/		
American Eagle 	1551 - 1555 Broadway NY 10036			http://ae.com		
In God We Trust	70 Greenpoint Ave Brooklyn 11222			http://ingodwetrustnyc.com/		
Meg	358 Atlantic Ave Brooklyn NY 11217			http://megshops.com		
Club Monaco	160 5th Ave NY 10010			http://clubmonaco.com		
Swords-Smith	98 S 4th St Brooklyn NY 11211			http://swords-smith.com/#		
H&M	4 Times Sq 1472 Broadway NY 10036			http://hm.com		
