			operacoat				Double cloth			Frida Giannini
			opera-coat				Double knitting			Dege & Skinner
			shrug				Double weave			Gieves & Hawkes
							Dowlas			Giusto Manetti Battiloro
			shorts				Drill			Givenchy
			pants				Drugget			Ana González
			pant				Duck			Goyard
			jeans				Dupioni silk			Gravati
			jean				Dyeing			Great Greenland Furhouse
			trousers				Dyneema			Gucci
			trouser				E-textiles			H.J. Cave & Sons
			chaps				Egyptian cotton			Hackett London
			cargo				Eolienne			Kevan Hall
			capri				Faile			Halston
			palazzo				Faux fur			Hamilton Jewelers
			palazzos				Felt			Tim Hamilton
			chinos				Fiber			Hansengross
			chino				Filet/Lacis lace			Hardy Amies
			khaki				Finishing			Haus Alkire
			khakis				Fishnet			Helmut Lang
			overalls				Flannel			Alexandre Herchcovitch
			yoga-pants				Flannelette			Hermès
			yogapants				Fleece			Carolina Herrera
			lowrise				Foulard			Hield
			lowrise-pants				Fulling			Georges Hobeika
			lowrisepants				Fustian			House of Flora
			sweatpants				Gabardine			Vivienne Hu
			sweat-pants				Gannex			Huntsman, Savile Row Tailor
			parachute				Gauze			Iceberg
			phat				Gazar			IRFE
			pedal-pushers				Georgette			Isabel Marant
			pedalpushers				Ghalamkar			Isaia
			dresspants				Gingham			Jil Sander
			dress-pants				Gore-Tex			Jimmy Choo Ltd
			bellbottoms				Grenadine			John Varvatos
			bell-bottoms				Grenfell Cloth			Joseph
			cycling				Grosgrain			Karen Kane
			highwater				Habutai			Donna Karan
			high-water				Haircloth			Mary Katrantzou
			bermuda				Halas lace			Rabih Kayrouz
			windpants				Harris Tweed			Kenzo
			wind-pants				Heather knit			Khaadi
							Heatsetting			Kiton
			shoe				Hemp			Michael Kors
			shoes				Herringbone			Xander Kostroma
			sneaker				Himroo			Kristall Smolensk
			sneakers				History of clothing and textiles			L.K.Bennett
			boot				History of silk			La Martina
			boots				History of textiles			Lachasse
			slipper				Hodden			Christian Lacroix
			slippers				Holland cloth			Karl Lagerfeld
			sandal				Hollie Point lace			Lagos
			sandals				Hopsack			Derek Lam
			spat				Houndstooth			Lanvin
			spats				Houndstooth check			Lardini
			croc				Indian cotton			Guy Laroche
			crocs				Indienne			Larusmiani
			dress-shoes				Intarsia			Monique Lhuillier
			boot				Interlock			Carol Lim
			boots				Irish linen			Phillip Lim
			flip-flops				Jaconet			J.Lindeberg
			flip-flop				Jacquard			Linnanen
			sandal				Jacquard knit			Dan Liu
			heels				Jamdani			LOEWE
			high-heels				Jersey			Loro Piana
			highheels				Jute			Christian Louboutin
							Kemp			Louis Vuitton
			skirt				Kenmare Lace			Luxottica
			miniskirt				Kente cloth			Draft:LËO-STAR République
			mini-skirt				Kerseymere			Mad Carpentier
			a-line				Kevlar			Madeleine Vramant
			aline				Khaki			Tomas Maier
			aline-skirt				Khaki drill			Mainbocher
			ballerina				Khādī			Maison Margiela
			ballerina-skirt				Kincob			Malo
			denimskirt				Knit			Arefeh Mansouri
			denim-skirt				Knitting			Marchesa
			jobskirt				Lace			Martin Margiela
			job-skirt				Lambswool			Marimekko
			job				Lampas			Marina Rinaldi
			microskirt				Lamé			Mario Hernández
			micro-skirt				Lantana			Marni
			pencil-skirt				Lawn			Mataano
			pencilskirt				Lawn cloth			Maui Jim
			praire				Leather			Max Mara
			praire-skirt				Leatherette			Maxfield Parrish
			praireskirt				Limerick lace			Stella McCartney
			rah-rah				Linen			Lorenzo Merlino
			rahrah				Linsey-woolsey			Michael Michalsky
			tutu				Loden			Carlos Miele
			wrap-skirt				Longcloth			Missoni
			wrapskirt				Loop knit			Miu Miu
			leatherskirt				Lumalive			Issey Miyake
			leather-skirt				Lycra knit			Modern Creation Munich
							Machine knitting			Moschino
			Bags				Mackinaw			Mulberry
			backpack				Madapolam			Net-a-Porter
			handbag				Madras			Nina Ricci
			hand-bag				Malimo			Norton & Sons
			handbags				Manufacturing			Obrey
			chanel				Marquisette			Marvin Oduber
			duffel				Matelassé			Charlotte Olympia
			satchel				Melton			Oroton
			tote				Mercerization			Oscar and Jesus
			messenger				Merino			Rick Owens
			saddle				Mesh			Oxxford Clothes
			clutch				Microfiber			Cesare Paciotti
			wristlet				Microfibre			Paule Ka
							Milliskin			Perry Ellis
			Accessories				Mockado			Petrodvorets Watch Factory
			sunglasses				Mohair			PETROU\MAN
			watch				Moire			Nicolas Petrou
			wristwatch				Moleskin			Pineda Covalín
			scarf				Monk's cloth			Philipp Plein
			sash				Moquette			Poltrona Frau
			headband				Mouflon			Pomellato
			glasses				Mousseline			Henry Poole & Co
			cufflink				Muslin			Prada
			tie				Nainsook			Pringle of Scotland
			necktie				Nankeen			Project D
			bow				Nap			Emilio Pucci
			bowtie				Natural fiber			Gareth Pugh
			belt				Needlerun Net			Qeelin
			bandana				Neoprene			Randi Rahm
			suspenders				Ninon			Raja Fashions
			wallet				Nomex			Raketa
							Nylon			Ralph & Russo
			Activewear				Oilskin			Ralph Lauren Corporation
			swim				Olefin			Rayne
			swimwear				Organdy			Regent
			swim-wear				Organza			John Richmond
			swimsuit				Osnaburg			Carla Rigg
			swim-suit				Ottoman			RM
			swim-briefs				Oxford			Roberto Coin
			swimbriefs				Paduasoy			Rochas
			wet				Paisley			Rodarte
			wetsuit				Pandy			Narciso Rodriguez
			wet-suit				Panné velvet			Roland Mouret
			surfer				Pashmina			Stéphane Rolland
			surf				Peau de Soie			Sergio Rossi
			trunks				Percale			Christian Roth
			bikini				Pin stripes			Ralph Rucci
			boardshorts				Piqué			Rudsak
			board				Piña			Rue du Mail
			drysuit				Plissé			Sonia Rykiel
			dry				Plush			S.E.H Kelly
			one-piece				Point de France lace			Elie Saab
			onepiece				Point de Gaze lace			Safilo
			rashguard				Point de Venise lace			Salvatore Ferragamo S.p.A.
			rash				Polar fleece			Sant Blanc
			yoga				Polyester			Ferdinando Sarmi
			sports				Pongee			Sass & bide
							Poplin			Satya Paul
			Jewelry				Preservation			Elsa Schiaparelli
			earrings				Punto in Aria lace			Sealup
			earring				Qiviut			Sermoneta Gloves
			necklace				Quilting			Shanghai Tang
			ring				Rakematiz			Shiatzy Chen
			brooch				Ramie			Shreve & Co.
			brooches				Raschel knit			Raf Simons
			bracelet				Raw silk			John Smedley
			bracelets				Rayadillo			Paul Smith
			amethyst				Rayon			Smythson
			emerald				Rep			Yotam Solomon
			jade				Reticella lace			SONGZIO
			jasper				Rib knit			Luciano Soprani
			ruby				Rib weave			Garo Sparo
			sapphire				Ribbon lace			St. John
			diamond				Rinzu			Star in the Hood
			gold				Ripstop			Stirling Cooper
							Ripstop nylon			Strathberry of Scotland
			Underwear				Rogan printing			Jill Stuart
			underwear				Roller printing			Stylenite
			underpants				Russell cord			Anna Sui
			boxers				Rōketsuzome			Vivienne Tam
			briefs				Saga Nishiki			TechnoMarine
			boxer				Sailcloth			The Chelsea Cobbler
			brief				Samite			Threeasfour
			panties				Sanforization			Tibi
			slip				Sateen			Tiffany & Co.
			hoisery				Satin			Tori Richard
			bra				Saye			Trands
			bras				Scarlet			Pauline Trigère
							Scrim			Trussardi
			Tights & Leggings				Sea silk			Tumbler and Tipsy
			tights				Seersucker			Turnbull & Asser
			leggings				Sequin			Kay Unger
			legging				Serge			Valentino SpA
							Shantung			Kris Van Assche
							Sharkskin			Walter van Beirendonck
							Shot silk			Dries van Noten
							Shrinkage			Alexandre Vauthier
							Shweshwe			Bouchra Jarrar
							Silk			Versace
							Silk Noil			Viktor & Rolf
							Silnylon			Alexander Wang
							Sisal			Vera Wang
							Smartwool			Warmenhoven & Venderbos
							Songket			WarPaint International
							Spandex			Vivienne Westwood
							Spider silk			Matthew Williamson
							Stockinette			Women's Home Industries
							Stub-tex			Wooyoungmi
							Stuff			Workers for Freedom
							Suede			Jason Wu
							Surah			Wunderkind
							Swatches and strike-offs			Yohji Yamamoto
							SympaTex			Yeohlee
							Synthetic fabric			Yuvna Kim
							Taffeta			Yves Saint Laurent
							Tais			Zeena Zaki
							Tambour lace			Giuseppe Zanotti
							Tammana			Ermenegildo Zegna
							Tapestry			
							Tartan			
							Tartan (Plaid)			
							Tattersall			
							Technical textiles			
							Template:Samia begum			
							Teneriffe lace			
							Tenterhook			
							Terminology			
							Terry velour			
							Terrycloth			
							Textile			
							Textile manufacturing			
							Textile printing			
							Ticking			
							Toile			
							Tricot knit			
							Tucuyo			
							Tulle			
							Tulle netting			
							Tussar silk			
							Tweed			
							Twill			
							Ultrasuede			
							Vegetable flannel			
							Velour			
							Velours du Kasaï			
							Velvet			
							Velveteen			
							Venetian Lace			
							Venetian Wool			
							Ventile			
							Vintage			
							Vinyl coated polyester			
							Viyella			
							Voile			
							Wadmal			
							Warp printing			
							Waxed cotton			
							Weaving			
							Whipcord			
							Wigan			
							Windstopper			
							Woodblock printing			
							Wool			
							Worcester			
							Worsted wool			
							Yarn			
							Youghal lace			
							Zephyr			
							Zibeline			
							Zorbeez			
							terrycotton			
							terrysilk			
							terrywool			
